作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
057105,赤いカブトムシ,あかいカブトムシ,あかいかふとむし,,,,「たのしい三年生」講談社、1958（昭和33）年4月～1959（昭和34）年3月,NDC K913,新字新仮名,なし,2016-09-30,2016-09-06,http://www.aozora.gr.jp/cards/001779/card57105.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,新宝島,江戸川乱歩推理文庫、講談社,1988（昭和63）年11月8日,1988（昭和63）年11月8日第1版,1988（昭和63）年11月8日第1版,,,,,,,,,,,,sogo,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57105_ruby_59617.zip,2016-06-10,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57105_59659.html,2016-06-10,ShiftJIS,JIS X 0208,0
057181,赤い部屋,あかいへや,あかいへや,,,,「新青年」博文館、1925（大正14）年4月,NDC 913,新字新仮名,なし,2016-08-28,2016-06-10,http://www.aozora.gr.jp/cards/001779/card57181.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第七巻,平凡社,1931（昭和6）年12月,,,,,,,,,門田裕志,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57181_ruby_59529.zip,2016-06-10,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57181_59566.html,2016-06-10,ShiftJIS,JIS X 0208,0
057240,悪魔の紋章,あくまのもんしょう,あくまのもんしよう,,,,「日の出」新潮社、1937（昭和12）年10月～1938（昭和13）年10月,NDC 913,新字新仮名,なし,2017-03-31,2017-01-12,http://www.aozora.gr.jp/cards/001779/card57240.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第12巻　悪魔の紋章,光文社文庫、光文社,2003（平成15）年12月20日,2003（平成15）年12月20日初版1刷,2003（平成15）年12月20日初版1刷,江戸川乱歩選集　第二巻,新潮社,1938（昭和13）年10月,,,,,,,,,門田裕志,北川松生,http://www.aozora.gr.jp/cards/001779/files/57240_ruby_60876.zip,2017-01-12,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57240_60918.html,2017-01-12,ShiftJIS,JIS X 0208,0
057182,一枚の切符,いちまいのきっぷ,いちまいのきつふ,,,,「新青年」博文館、1923（大正12）年7月,NDC 913,新字新仮名,なし,2016-10-31,2016-09-09,http://www.aozora.gr.jp/cards/001779/card57182.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第二巻,平凡社,1931（昭和6）年10月,,,,,,,,,門田裕志,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57182_ruby_60006.zip,2016-09-09,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57182_60051.html,2016-09-09,ShiftJIS,JIS X 0208,0
056674,宇宙怪人,うちゅうかいじん,うちゆうかいしん,,,,「少年」光文社、1953（昭和28）年1月号～12月号,NDC K913,新字新仮名,なし,2017-06-16,2017-04-03,http://www.aozora.gr.jp/cards/001779/card56674.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,怪奇四十面相／宇宙怪人,江戸川乱歩推理文庫、講談社,1988（昭和63）年1月8日,1988（昭和63）年1月8日第1刷,1988（昭和63）年1月8日第1刷,,,,,,,,,,,,sogo,大久保ゆう,http://www.aozora.gr.jp/cards/001779/files/56674_ruby_61552.zip,2017-04-03,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56674_61591.html,2017-04-03,ShiftJIS,JIS X 0208,0
056678,黄金豹,おうごんひょう,おうこんひよう,,,,「少年クラブ」大日本雄辯會講談社、1956（昭和31）年1月号～12月号,NDC K913,新字新仮名,なし,2017-08-10,2017-07-23,http://www.aozora.gr.jp/cards/001779/card56678.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,黄金豹／妖人ゴング,江戸川乱歩推理文庫、講談社,1988（昭和63）年4月8日,1988（昭和63）年4月8日第1刷,1988（昭和63）年4月8日第1刷,,,,,,,,,,,,sogo,茅宮君子,http://www.aozora.gr.jp/cards/001779/files/56678_ruby_62113.zip,2017-07-23,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56678_62114.html,2017-07-23,ShiftJIS,JIS X 0208,0
056645,押絵と旅する男,おしえとたびするおとこ,おしえとたひするおとこ,,,,「新青年」博文館、1929（昭和4）年6月,NDC 913,新字新仮名,なし,2016-02-01,2016-01-01,http://www.aozora.gr.jp/cards/001779/card56645.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第5巻　押絵と旅する男,光文社文庫、光文社,2005（平成17）年1月20日,2005（平成17）年1月20日初版1刷,2013（平成25）年5月5日3刷,江戸川乱歩全集　第三巻,平凡社,1932（昭和7）年1月,,,,,,,,,砂場清隆,門田裕志,http://www.aozora.gr.jp/cards/001779/files/56645_ruby_58194.zip,2016-01-01,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/56645_58203.html,2016-01-01,ShiftJIS,JIS X 0208,0
057504,お勢登場,おせいとうじょう,おせいとうしよう,,,,「大衆文藝」1926（大正15）年7月,NDC 913,新字新仮名,なし,2017-09-01,2017-08-25,http://www.aozora.gr.jp/cards/001779/card57504.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005（平成17）年11月20日,2005（平成17）年11月20日初版1刷,2009（平成21）年7月20日2刷,創作探偵小説集第四巻　湖畔亭事件,春陽堂,1926（大正15）年9月,,,,,,,,,金城学院大学　電子書籍制作,門田裕志,http://www.aozora.gr.jp/cards/001779/files/57504_ruby_62502.zip,2017-08-25,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57504_62544.html,2017-08-25,ShiftJIS,JIS X 0208,0
057183,恐ろしき錯誤,おそろしきさくご,おそろしきさくこ,,,,「新青年」博文館、1923（大正12）年11月,NDC 913,新字新仮名,なし,2016-10-31,2016-09-09,http://www.aozora.gr.jp/cards/001779/card57183.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2004（平成16）年7月20日,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,江戸川乱歩全集　第八巻,平凡社,1931（昭和6）年5月,,,,,,,,,門田裕志,岡村和彦,http://www.aozora.gr.jp/cards/001779/files/57183_ruby_60007.zip,2016-09-09,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57183_60052.html,2016-09-09,ShiftJIS,JIS X 0208,0
057505,踊る一寸法師,おどるいっすんぼうし,おとるいつすんほうし,,,,「新青年」博文館、1926（大正15）年1月,NDC 913,新字新仮名,なし,2017-04-29,2017-04-18,http://www.aozora.gr.jp/cards/001779/card57505.html,001779,江戸川,乱歩,えどがわ,らんぽ,えとかわ,らんほ,Edogawa,Ranpo,著者,1894-10-21,1965-07-28,なし,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005（平成17）年11月20日,2005（平成17）年11月20日初版1刷,2009（平成21）年7月20日2刷,創作探偵小説集第二巻　屋根裏の散歩者,春陽堂,1926（大正15）年1月,,,,,,,,,金城学院大学　電子書籍制作,門田裕志,http://www.aozora.gr.jp/cards/001779/files/57505_ruby_61213.zip,2017-04-04,ShiftJIS,JIS X 0208,0,http://www.aozora.gr.jp/cards/001779/files/57505_61256.html,2017-04-04,ShiftJIS,JIS X 0208,0
